,Unnamed: 0,category,place_name,place_address,lat,lon,place_id
89,91,daycare,별바라기 주간보호,서울특별시 금천구 금하로18길 8-1 .,37.452274100000004,126.9050378,40091
90,92,daycare,하늘아래,서울특별시 구로구 경인로23길 8 301-1호,37.4968112,126.844057,40092
91,93,daycare,밀알 주간보호,서울특별시 강남구 밤고개로1길 38 B동 101호,37.4888999,127.1039991,40093
92,94,daycare,서울영동 주간보호,서울특별시 강남구 논현로132길 20 서울영동교회 교육관 2층,37.5150375,127.0322439,40094
94,96,wellfare,종로장애인복지관,서울특별시 종로구 자하문로 89 종로장애인복지관,37.5840865,126.96998090000001,40096
95,97,wellfare,동대문장애인 복지관,서울특별시 동대문구 청계천로 521 동대문 장애인복지관,37.57182529999999,127.03404540000001,40097
96,98,wellfare,서대문장애인복지관,서울특별시 서대문구 북아현로 24 서대문장애인복지관,37.5594749,126.95704620000001,40098
97,99,daycare,다니엘주간보호센터,서초구 헌릉로468길 21-16 (내곡동 1-1328번지),37.46071,127.0920009,40099
98,100,daycare,늘푸른마을,강서구 까치산로22길 38 (화곡6동 960-22),37.5480187,126.8523092,40100
99,101,daycare,시각장애인 주간보호,중구 퇴계로16길 35-21 (남산동1가 16-27),37.558898,126.98412979999999,40101
100,102,daycare,한우리,강남구 광평로60길 22 (수서동 721),37.486981,127.1069631,40102
101,103,daycare,농아노인지원센터,용산구 원효로 261 (원효로1가 39-1) 3층,37.540820200000006,126.9694335,40103
102,104,signinterpret,강남구 수화통역센터,"강남구 개포로82길 13-17, 대화빌딩 402호 (개포동 186-7)",37.488909299999996,127.06859709999999,40104
103,105,daycare,성모주간보호센터,성동구 독서당로44길 25 (금호동4가 28-1),37.545491299999995,127.0204183,40105
104,106,daycare,지앤지,도봉구 삼양로 574-44 (쌍문동 505-11)  2층,37.654364799999996,127.0139811,40106
105,107,wellfare,강남장애인복지관,강남구 개포로 605 (개포동12-10),37.4919994,127.07347890000001,40107
106,108,daycare,아이비주간보호,강동구 천중로 87 (천호동 300-7) 4층,37.544787899999996,127.1317169,40108
108,110,signinterpret,도봉구수화통역센터,"서울특별시 도봉구 마들로13길 153 창동,옥산빌딩",37.6570577,127.04624409999998,40110
109,112,signinterpret,서초수화통역센터,서초구 서운로23길 17 (서초4동 1313-17) 명달공원 노인정내,37.499044299999994,127.0211616,40112
110,113,daycare,주간보호시설 인강원,도봉구 평화로15번길 9-25 (도봉동 381-1),37.6947974,127.042399,40113
112,115,daycare,우리집주간보호시설,강서구 양천로47길 70-6 (마곡동 7-8호) 4층,37.573335,126.8375259,40115
113,116,signinterpret,금천구수화통역센터,서울특별시 금천구 시흥대로147길 30-15 2층,37.4747907,126.8961838,40116
114,117,signinterpret,양천구수화통역센터,서울특별시 양천구 신정중앙로 86 대영빌딩 4층,37.5264291,126.86109590000001,40117
115,118,daycare,서리풀,서초구 남부순환로340길 15 (서초동 380) (한우리정보문화센터내),37.4820619,127.0250115,40118
116,119,daycare,민들레쉼터장애인주간보호시설,서울특별시 구로구 가마산로 231 5동 101호,37.4958769,126.8857722,40119
117,120,wellfare,에덴장애인종합복지관,구로구 고척로21가길 84-35 (개봉1동 50-8),37.5011929,126.84124409999998,40120
119,122,signinterpret,강북구 수화통역센터,강북구 한천로131길 7 (번1동 417-24) 경일빌딩 3층 301호,37.6387,127.0279155,40122
120,123,signinterpret,은평구수화통역센터,은평구 증산서길 82 (증산동 186-11) 1층,37.583607,126.90685069999999,40123
121,124,wellfare,금천장애인종합복지관,서울특별시 금천구 시흥대로101길 17 (독산동 1011-1),37.4639847,126.8963228,40124
122,125,wellfare,서울시립영등포장애인복지관,영등포구 버드나루로 22 (영등포동2가 94-379),37.5208661,126.91291499999998,40125
124,127,wellfare,성동장애인종합복지관,성동구 청계천로 506 (마장동 527-2),37.5702032,127.03344140000002,40127
125,128,daycare,성산푸른초장주간보호시설,"서울시 강서구 양천로 30길 14  3층 (마곡동,벧엘빌딩)",37.572548100000006,126.82261670000001,40128
126,129,daycare,서초여성회관주간보호센터,서초구 방배로 40 (방배3동 1023-3),37.478440899999995,126.9999918,40129
127,130,daycare,해마을 주간보호,강남구 개포로 617-8 (개포동 14-2),37.4940531,127.0777925,40130
129,132,wellfare,성북시각장애인복지관,성북구 동소문로25가길 20 (동선동4가 279-1),37.5954013,127.01924640000001,40132
130,133,daycare,한벗,용산구 효창원로69길 42-3 (효창동 5-134),37.542842,126.9601817,40133
131,134,wellfare,도봉장애인종합복지관,서울특별시 도봉구 마들로 664 -23,37.6693393,127.0477251,40134
133,136,daycare,헬렌켈러의집,서울특별시 강북구 삼양로80길 7 3층,37.6309477,127.0183098,40136
134,137,signinterpret,용산구 수화통역센터,서울특별시 용산구 이태원로27가길 42 3층,37.5350455,126.9928477,40137
135,138,daycare,예수와주간&#48399;,서울특별시 강남구 압구정로22길 21 웨슬리관 1층,37.5242737,127.0265933,40138
136,139,wellfare,홀트강동복지관,서울특별시 강동구 아리수로93길 41 홀트강동복지관,37.5662223,127.17325990000002,40139
137,141,daycare,라파엘의 집,종로구 자하문로7길 68-4 (누하동  1-10) 라파엘의 집 주간보호센터,37.5803259,126.96925049999999,40141
140,144,daycare,다니엘방배 주간보호센터,서초구 서초대로12길 8 (방배동 945-9번지),37.485662,126.9884189,40144
141,145,signinterpret,서울시수화통역센터 지원본부,서대문구 경기대로 15 (충정로3가 32-11) 엘림넷빌딩 3층,37.5608423,126.96165359999999,40145
142,146,signinterpret,강서구수화통역센터,강서구 공항대로41길 51 (등촌3동 696) 세신그린코아빌딩 815호,37.560247600000004,126.84577949999999,40146
