,facility_available_name,facility_is_available,place_name,place_id,facility_id
127,장애인 전용 주차구역_그랜드 앰배서더 서울 그랜드 볼룸,이용불편,그랜드 앰배서더 서울 그랜드 볼룸,39,39-1
128,주출입구 높이차이 제거_그랜드 앰배서더 서울 그랜드 볼룸,이용불편,그랜드 앰배서더 서울 그랜드 볼룸,39,39-2
129,장애인용 승강기_그랜드 앰배서더 서울 그랜드 볼룸,이용가능,그랜드 앰배서더 서울 그랜드 볼룸,39,39-3
130,장애인용 화장실_그랜드 앰배서더 서울 그랜드 볼룸,이용불편,그랜드 앰배서더 서울 그랜드 볼룸,39,39-4
131,장애인용 관람석_그랜드 앰배서더 서울 그랜드 볼룸,이용가능,그랜드 앰배서더 서울 그랜드 볼룸,39,39-5
132,주출입구 높이차이 제거_그랜드하얏트서울 그랜드볼룸,이용가능,그랜드하얏트서울 그랜드볼룸,40,40-0
133,주출입구 접근로_그랜드힐튼호텔 컨벤션홀,이용불편,그랜드힐튼호텔 컨벤션홀,41,41-0
134,장애인 전용 주차구역_그랜드힐튼호텔 컨벤션홀,이용가능,그랜드힐튼호텔 컨벤션홀,41,41-1
135,주출입구 높이차이 제거_그랜드힐튼호텔 컨벤션홀,이용가능,그랜드힐튼호텔 컨벤션홀,41,41-2
136,장애인용 승강기_그랜드힐튼호텔 컨벤션홀,이용가능,그랜드힐튼호텔 컨벤션홀,41,41-3
137,주출입구 접근로_금호아트홀,이용가능,금호아트홀,42,42-0
138,장애인 전용 주차구역_금호아트홀,이용불편,금호아트홀,42,42-1
139,주출입구 높이차이 제거_금호아트홀,이용가능,금호아트홀,42,42-2
140,장애인용 승강기_금호아트홀,이용가능,금호아트홀,42,42-3
141,장애인용 화장실_금호아트홀,이용불편,금호아트홀,42,42-4
142,주출입구 접근로_나루아트센터,이용가능,나루아트센터,44,44-0
143,장애인 전용 주차구역_나루아트센터,이용불편,나루아트센터,44,44-1
144,주출입구 높이차이 제거_나루아트센터,이용가능,나루아트센터,44,44-2
145,장애인용 승강기_나루아트센터,이용불편,나루아트센터,44,44-3
146,장애인용 관람석_나루아트센터,이용불편,나루아트센터,44,44-4
147,주출입구 접근로_난타전용관(명동),이용불편,난타전용관(명동),46,46-0
148,장애인용 화장실_난타전용관(명동),이용불편,난타전용관(명동),46,46-1
149,장애인용 관람석_난타전용관(명동),이용가능,난타전용관(명동),46,46-2
150,주출입구 접근로_난타전용관(홍대),이용가능,난타전용관(홍대),47,47-0
151,주출입구 높이차이 제거_난타전용관(홍대),이용가능,난타전용관(홍대),47,47-1
152,장애인용 승강기_난타전용관(홍대),이용가능,난타전용관(홍대),47,47-2
153,장애인용 화장실_난타전용관(홍대),이용가능,난타전용관(홍대),47,47-3
154,장애인용 관람석_난타전용관(홍대),이용가능,난타전용관(홍대),47,47-4
155,주출입구 접근로_남산예술센터,이용가능,남산예술센터,48,48-0
156,장애인용 관람석_남산예술센터,이용가능,남산예술센터,48,48-1
157,주출입구 접근로_대학로 SH 아트홀,이용가능,대학로 SH 아트홀,50,50-0
158,장애인 전용 주차구역_대학로 SH 아트홀,이용불편,대학로 SH 아트홀,50,50-1
159,주출입구 접근로_대학로 씨어터 SH,이용가능,대학로 씨어터 SH,54,54-0
160,장애인 전용 주차구역_대학로 씨어터 SH,이용불편,대학로 씨어터 SH,54,54-1
161,주출입구 높이차이 제거_대학로 우리네극장,이용가능,대학로 우리네극장,59,59-0
162,주출입구 접근로_대학로 웃찾사 전용관(구.Boom Box),이용가능,대학로 웃찾사 전용관(구.Boom Box),60,60-0
163,주출입구 높이차이 제거_대학로 웃찾사 전용관(구.Boom Box),이용가능,대학로 웃찾사 전용관(구.Boom Box),60,60-1
164,주출입구 접근로_대학로예술극장,이용가능,대학로예술극장,61,61-0
165,장애인 전용 주차구역_대학로예술극장,이용가능,대학로예술극장,61,61-1
166,주출입구 높이차이 제거_대학로예술극장,이용가능,대학로예술극장,61,61-2
167,장애인용 승강기_대학로예술극장,이용가능,대학로예술극장,61,61-3
168,장애인용 화장실_대학로예술극장,이용가능,대학로예술극장,61,61-4
169,주출입구 접근로_대한극장,이용가능,대한극장,62,62-0
170,주출입구 높이차이 제거_대한극장,이용가능,대한극장,62,62-1
171,장애인용 관람석_대한극장,이용가능,대한극장,62,62-2
172,주출입구 접근로_동숭아트센터,이용불편,동숭아트센터,64,64-0
173,장애인 전용 주차구역_동숭아트센터,이용불편,동숭아트센터,64,64-1
174,주출입구 높이차이 제거_동숭아트센터,이용가능,동숭아트센터,64,64-2
175,장애인용 승강기_동숭아트센터,이용불편,동숭아트센터,64,64-3
176,장애인용 화장실_동숭아트센터,이용가능,동숭아트센터,64,64-4
177,주출입구 접근로_동영아트홀 (구 계몽아트홀),이용가능,동영아트홀 (구 계몽아트홀),65,65-0
178,장애인 전용 주차구역_동영아트홀 (구 계몽아트홀),이용가능,동영아트홀 (구 계몽아트홀),65,65-1
179,주출입구 높이차이 제거_동영아트홀 (구 계몽아트홀),이용불편,동영아트홀 (구 계몽아트홀),65,65-2
180,장애인용 승강기_동영아트홀 (구 계몽아트홀),이용가능,동영아트홀 (구 계몽아트홀),65,65-3
181,장애인용 관람석_동영아트홀 (구 계몽아트홀),이용가능,동영아트홀 (구 계몽아트홀),65,65-4
182,주출입구 접근로_디마떼오홀,이용불편,디마떼오홀,66,66-0
183,주출입구 높이차이 제거_디마떼오홀,이용가능,디마떼오홀,66,66-1
184,주출입구 접근로_라트어린이극장,이용불편,라트어린이극장,68,68-0
185,장애인 전용 주차구역_라트어린이극장,이용가능,라트어린이극장,68,68-1
186,주출입구 높이차이 제거_라트어린이극장,이용가능,라트어린이극장,68,68-2
187,장애인용 승강기_라트어린이극장,이용가능,라트어린이극장,68,68-3
188,주출입구 접근로_레진코믹스 브이홀,이용가능,레진코믹스 브이홀,69,69-0
189,장애인 전용 주차구역_레진코믹스 브이홀,이용불편,레진코믹스 브이홀,69,69-1
190,주출입구 높이차이 제거_레진코믹스 브이홀,이용불편,레진코믹스 브이홀,69,69-2
191,장애인용 승강기_레진코믹스 브이홀,이용가능,레진코믹스 브이홀,69,69-3
192,장애인용 관람석_레진코믹스 브이홀,이용가능,레진코믹스 브이홀,69,69-4
193,주출입구 접근로_롯데몰 김포공항점,이용가능,롯데몰 김포공항점,71,71-0
194,장애인 전용 주차구역_롯데몰 김포공항점,이용불편,롯데몰 김포공항점,71,71-1
195,주출입구 높이차이 제거_롯데몰 김포공항점,이용가능,롯데몰 김포공항점,71,71-2
196,장애인용 승강기_롯데몰 김포공항점,이용가능,롯데몰 김포공항점,71,71-3
197,장애인용 화장실_롯데몰 김포공항점,이용불편,롯데몰 김포공항점,71,71-4
198,주출입구 접근로_롯데백화점 노원점,이용가능,롯데백화점 노원점,72,72-0
199,장애인 전용 주차구역_롯데백화점 노원점,이용가능,롯데백화점 노원점,72,72-1
200,주출입구 높이차이 제거_롯데백화점 노원점,이용가능,롯데백화점 노원점,72,72-2
201,장애인용 승강기_롯데백화점 노원점,이용가능,롯데백화점 노원점,72,72-3
202,장애인용 화장실_롯데백화점 노원점,이용가능,롯데백화점 노원점,72,72-4
203,주출입구 접근로_롯데시네마 강동,이용불편,롯데시네마 강동,73,73-0
204,장애인 전용 주차구역_롯데시네마 강동,이용가능,롯데시네마 강동,73,73-1
205,주출입구 높이차이 제거_롯데시네마 강동,이용가능,롯데시네마 강동,73,73-2
206,장애인용 승강기_롯데시네마 강동,이용가능,롯데시네마 강동,73,73-3
207,장애인용 화장실_롯데시네마 강동,이용불편,롯데시네마 강동,73,73-4
208,주출입구 접근로_롯데시네마 강동관,이용가능,롯데시네마 강동관,74,74-0
209,장애인 전용 주차구역_롯데시네마 강동관,이용가능,롯데시네마 강동관,74,74-1
210,주출입구 높이차이 제거_롯데시네마 강동관,이용가능,롯데시네마 강동관,74,74-2
211,장애인용 승강기_롯데시네마 강동관,이용가능,롯데시네마 강동관,74,74-3
212,장애인용 관람석_롯데시네마 강동관,이용가능,롯데시네마 강동관,74,74-4
213,주출입구 접근로_롯데시네마 건대입구관,이용가능,롯데시네마 건대입구관,75,75-0
214,장애인 전용 주차구역_롯데시네마 건대입구관,이용불편,롯데시네마 건대입구관,75,75-1
215,주출입구 높이차이 제거_롯데시네마 건대입구관,이용가능,롯데시네마 건대입구관,75,75-2
216,장애인용 관람석_롯데시네마 건대입구관,이용가능,롯데시네마 건대입구관,75,75-3
217,주출입구 접근로_롯데시네마 누리꿈(상암),이용가능,롯데시네마 누리꿈(상암),76,76-0
218,주출입구 높이차이 제거_롯데시네마 누리꿈(상암),이용가능,롯데시네마 누리꿈(상암),76,76-1
219,장애인용 승강기_롯데시네마 누리꿈(상암),이용불편,롯데시네마 누리꿈(상암),76,76-2
220,장애인용 화장실_롯데시네마 누리꿈(상암),이용불편,롯데시네마 누리꿈(상암),76,76-3
221,주출입구 접근로_롯데시네마 브로드웨이,이용가능,롯데시네마 브로드웨이,78,78-0
222,장애인 전용 주차구역_롯데시네마 브로드웨이,이용가능,롯데시네마 브로드웨이,78,78-1
223,주출입구 높이차이 제거_롯데시네마 브로드웨이,이용가능,롯데시네마 브로드웨이,78,78-2
224,장애인용 승강기_롯데시네마 브로드웨이,이용가능,롯데시네마 브로드웨이,78,78-3
225,장애인용 화장실_롯데시네마 브로드웨이,이용불편,롯데시네마 브로드웨이,78,78-4
226,주출입구 접근로_롯데시네마 씨티(강남),이용가능,롯데시네마 씨티(강남),79,79-0
227,주출입구 높이차이 제거_롯데시네마 씨티(강남),이용불편,롯데시네마 씨티(강남),79,79-1
228,장애인용 승강기_롯데시네마 씨티(강남),이용가능,롯데시네마 씨티(강남),79,79-2
229,장애인용 화장실_롯데시네마 씨티(강남),이용불편,롯데시네마 씨티(강남),79,79-3
230,장애인용 관람석_롯데시네마 씨티(강남),이용가능,롯데시네마 씨티(강남),79,79-4
231,주출입구 접근로_롯데시네마 에비뉴엘(명동),이용불편,롯데시네마 에비뉴엘(명동),80,80-0
232,장애인 전용 주차구역_롯데시네마 에비뉴엘(명동),이용불편,롯데시네마 에비뉴엘(명동),80,80-1
233,장애인용 승강기_롯데시네마 에비뉴엘(명동),이용불편,롯데시네마 에비뉴엘(명동),80,80-2
234,주출입구 접근로_롯데시네마 피카디리,이용가능,롯데시네마 피카디리,81,81-0
235,장애인 전용 주차구역_롯데시네마 피카디리,이용가능,롯데시네마 피카디리,81,81-1
236,주출입구 높이차이 제거_롯데시네마 피카디리,이용가능,롯데시네마 피카디리,81,81-2
237,장애인용 승강기_롯데시네마 피카디리,이용불편,롯데시네마 피카디리,81,81-3
238,장애인용 화장실_롯데시네마 피카디리,이용가능,롯데시네마 피카디리,81,81-4
239,주출입구 접근로_롯데시네마 피카디리관,이용가능,롯데시네마 피카디리관,82,82-0
240,주출입구 높이차이 제거_롯데시네마 피카디리관,이용가능,롯데시네마 피카디리관,82,82-1
241,장애인용 승강기_롯데시네마 피카디리관,이용가능,롯데시네마 피카디리관,82,82-2
242,장애인용 관람석_롯데시네마 피카디리관,이용가능,롯데시네마 피카디리관,82,82-3
243,주출입구 접근로_롯데시네마 합정,이용가능,롯데시네마 합정,83,83-0
244,주출입구 높이차이 제거_롯데시네마 합정,이용가능,롯데시네마 합정,83,83-1
245,장애인용 승강기_롯데시네마 합정,이용가능,롯데시네마 합정,83,83-2
246,주출입구 접근로_롯데시네마 홍대입구,이용가능,롯데시네마 홍대입구,84,84-0
247,장애인 전용 주차구역_롯데시네마 홍대입구,이용가능,롯데시네마 홍대입구,84,84-1
248,주출입구 높이차이 제거_롯데시네마 홍대입구,이용가능,롯데시네마 홍대입구,84,84-2
249,장애인용 승강기_롯데시네마 홍대입구,이용가능,롯데시네마 홍대입구,84,84-3
250,장애인용 화장실_롯데시네마 홍대입구,이용가능,롯데시네마 홍대입구,84,84-4
251,주출입구 접근로_롯데시네마 홍대입구관,이용가능,롯데시네마 홍대입구관,85,85-0
252,주출입구 높이차이 제거_롯데시네마 홍대입구관,이용가능,롯데시네마 홍대입구관,85,85-1
253,장애인용 승강기_롯데시네마 홍대입구관,이용가능,롯데시네마 홍대입구관,85,85-2
254,장애인용 관람석_롯데시네마 홍대입구관,이용가능,롯데시네마 홍대입구관,85,85-3
255,주출입구 접근로_롯데시네마 황학,이용가능,롯데시네마 황학,86,86-0
256,장애인 전용 주차구역_롯데시네마 황학,이용가능,롯데시네마 황학,86,86-1
257,주출입구 높이차이 제거_롯데시네마 황학,이용가능,롯데시네마 황학,86,86-2
258,장애인용 관람석_롯데시네마 황학,이용가능,롯데시네마 황학,86,86-3
259,주출입구 접근로_루나틱전용관,이용가능,루나틱전용관,88,88-0
260,주출입구 높이차이 제거_루나틱전용관,이용가능,루나틱전용관,88,88-1
261,장애인용 승강기_루나틱전용관,이용가능,루나틱전용관,88,88-2
262,주출입구 접근로_르네상스 서울호텔,이용가능,르네상스 서울호텔,89,89-0
263,장애인 전용 주차구역_르네상스 서울호텔,이용가능,르네상스 서울호텔,89,89-1
264,주출입구 높이차이 제거_르네상스 서울호텔,이용가능,르네상스 서울호텔,89,89-2
265,장애인 전용 주차구역_리츠칼튼 서울호텔 그랜드볼룸,이용가능,리츠칼튼 서울호텔 그랜드볼룸,91,91-0
266,주출입구 높이차이 제거_리츠칼튼 서울호텔 그랜드볼룸,이용가능,리츠칼튼 서울호텔 그랜드볼룸,91,91-1
267,장애인용 승강기_리츠칼튼 서울호텔 그랜드볼룸,이용불편,리츠칼튼 서울호텔 그랜드볼룸,91,91-2
268,주출입구 접근로_마포아트센터,이용가능,마포아트센터,92,92-0
269,장애인 전용 주차구역_마포아트센터,이용가능,마포아트센터,92,92-1
270,주출입구 높이차이 제거_마포아트센터,이용가능,마포아트센터,92,92-2
271,장애인용 승강기_마포아트센터,이용가능,마포아트센터,92,92-3
272,장애인용 화장실_마포아트센터,이용불편,마포아트센터,92,92-4
273,주출입구 접근로_메가박스 강남,이용가능,메가박스 강남,93,93-0
274,장애인 전용 주차구역_메가박스 강남,이용가능,메가박스 강남,93,93-1
275,주출입구 높이차이 제거_메가박스 강남,이용불편,메가박스 강남,93,93-2
276,장애인용 승강기_메가박스 강남,이용가능,메가박스 강남,93,93-3
277,주출입구 접근로_메가박스 동대문,이용가능,메가박스 동대문,94,94-0
278,장애인 전용 주차구역_메가박스 동대문,이용가능,메가박스 동대문,94,94-1
279,주출입구 높이차이 제거_메가박스 동대문,이용불편,메가박스 동대문,94,94-2
280,장애인용 승강기_메가박스 동대문,이용가능,메가박스 동대문,94,94-3
281,장애인용 관람석_메가박스 동대문,이용가능,메가박스 동대문,94,94-4
282,주출입구 접근로_메가박스 목동,이용가능,메가박스 목동,95,95-0
283,장애인 전용 주차구역_메가박스 목동,이용불편,메가박스 목동,95,95-1
284,주출입구 높이차이 제거_메가박스 목동,이용가능,메가박스 목동,95,95-2
285,장애인용 승강기_메가박스 목동,이용불편,메가박스 목동,95,95-3
286,장애인용 화장실_메가박스 목동,이용불편,메가박스 목동,95,95-4
287,주출입구 접근로_메가박스 상봉,이용가능,메가박스 상봉,96,96-0
288,장애인 전용 주차구역_메가박스 상봉,이용가능,메가박스 상봉,96,96-1
289,주출입구 높이차이 제거_메가박스 상봉,이용가능,메가박스 상봉,96,96-2
290,장애인용 승강기_메가박스 상봉,이용가능,메가박스 상봉,96,96-3
291,장애인용 화장실_메가박스 상봉,이용불편,메가박스 상봉,96,96-4
292,주출입구 접근로_메가박스 센트럴,이용가능,메가박스 센트럴,97,97-0
293,장애인 전용 주차구역_메가박스 센트럴,이용불편,메가박스 센트럴,97,97-1
294,주출입구 높이차이 제거_메가박스 센트럴,이용가능,메가박스 센트럴,97,97-2
295,주출입구 접근로_메가박스 수유,이용불편,메가박스 수유,98,98-0
296,장애인 전용 주차구역_메가박스 수유,이용불편,메가박스 수유,98,98-1
297,주출입구 높이차이 제거_메가박스 수유,이용가능,메가박스 수유,98,98-2
