,facility_available_name,facility_is_available,place_name
709,장애인 전용 주차구역_씨푸드 대림점,이용불편,씨푸드 대림점
710,주출입구 높이차이 제거_씨푸드 대림점,이용가능,씨푸드 대림점
711,주출입구 접근로_아사달횟집,이용불편,아사달횟집
712,주출입구 높이차이 제거_아사달횟집,이용가능,아사달횟집
713,주출입구 접근로_아지코우보,이용가능,아지코우보
714,장애인 전용 주차구역_아지코우보,이용가능,아지코우보
715,주출입구 높이차이 제거_아지코우보,이용가능,아지코우보
716,주출입구 접근로_어부박씨,이용불편,어부박씨
717,주출입구 접근로_이춘복참치,이용불편,이춘복참치
718,주출입구 높이차이 제거_이춘복참치,이용가능,이춘복참치
719,주출입구 접근로_일반음식점(삿뽀로),이용가능,일반음식점(삿뽀로)
720,장애인 전용 주차구역_일반음식점(삿뽀로),이용가능,일반음식점(삿뽀로)
721,주출입구 높이차이 제거_일반음식점(삿뽀로),이용가능,일반음식점(삿뽀로)
722,주출입구 접근로_일식미진(일반음식점),이용가능,일식미진(일반음식점)
723,장애인 전용 주차구역_일식미진(일반음식점),이용가능,일식미진(일반음식점)
724,주출입구 높이차이 제거_일식미진(일반음식점),이용불편,일식미진(일반음식점)
725,주출입구 접근로_정동진회집 하계점,이용가능,정동진회집 하계점
726,장애인 전용 주차구역_정동진회집 하계점,이용가능,정동진회집 하계점
727,주출입구 접근로_참치박사,이용가능,참치박사
728,장애인 전용 주차구역_참치박사,이용가능,참치박사
729,주출입구 접근로_청량리쇠고기샤브샤브,이용가능,청량리쇠고기샤브샤브
730,장애인 전용 주차구역_청량리쇠고기샤브샤브,이용가능,청량리쇠고기샤브샤브
731,주출입구 높이차이 제거_청량리쇠고기샤브샤브,이용불편,청량리쇠고기샤브샤브
732,주출입구 접근로_청해수산회천하통일,이용가능,청해수산회천하통일
733,장애인 전용 주차구역_청해수산회천하통일,이용가능,청해수산회천하통일
734,주출입구 접근로_킹스(북해도),이용가능,킹스(북해도)
735,장애인 전용 주차구역_킹스(북해도),이용가능,킹스(북해도)
736,주출입구 접근로_해성회수산,이용가능,해성회수산
737,장애인 전용 주차구역_해성회수산,이용가능,해성회수산
738,주출입구 접근로_호면당(조은빌딩),이용가능,호면당(조은빌딩)
739,주출입구 높이차이 제거_호면당(조은빌딩),이용가능,호면당(조은빌딩)
740,주출입구 접근로_희전샤브샤브,이용가능,희전샤브샤브
741,장애인 전용 주차구역_희전샤브샤브,이용불편,희전샤브샤브
742,주출입구 높이차이 제거_희전샤브샤브,이용불편,희전샤브샤브
743,주출입구 접근로_(주) 씨머스,이용가능,(주) 씨머스
744,장애인 전용 주차구역_(주) 씨머스,이용가능,(주) 씨머스
745,주출입구 높이차이 제거_(주) 씨머스,이용가능,(주) 씨머스
746,주출입구 접근로_2층에오렌지룸(일반음식점)-호프&요리주점,이용가능,2층에오렌지룸(일반음식점)-호프&요리주점
747,장애인 전용 주차구역_2층에오렌지룸(일반음식점)-호프&요리주점,이용가능,2층에오렌지룸(일반음식점)-호프&요리주점
748,주출입구 높이차이 제거_2층에오렌지룸(일반음식점)-호프&요리주점,이용가능,2층에오렌지룸(일반음식점)-호프&요리주점
749,주출입구 접근로_AB엔터테인먼트-연예기획사,이용가능,AB엔터테인먼트-연예기획사
750,장애인 전용 주차구역_AB엔터테인먼트-연예기획사,이용가능,AB엔터테인먼트-연예기획사
