,category,lat,lon,place_address,place_id,place_name
83,movie/concerthall,37.5032294,127.04149840000002,서울특별시 강남구 역삼동 676번지 3층,10089,르네상스 서울호텔
85,movie/concerthall,37.50486710000001,127.0268226,"서울특별시 강남구 역삼동 602, The Ritz-Carlton, Seoul",10091,리츠칼튼 서울호텔 그랜드볼룸
86,movie/concerthall,37.5499041,126.9455277,서울특별시 마포구 대흥로20길   28,10092,마포아트센터
87,movie/concerthall,37.4979429,127.0265303,서울특별시 서초구 서초동 1317-20 아라타워 8층 씨너스 강남,10093,메가박스 강남
88,movie/concerthall,37.5658032,127.0074043,서울특별시 중구 을지로6가 21,10094,메가박스 동대문
89,movie/concerthall,37.529139799999996,126.87601740000001,서울특별시 양천구 목동동로 309,10095,메가박스 목동
90,movie/concerthall,37.593086299999996,127.0747635,서울특별시 중랑구 망우로30길 3,10096,메가박스 상봉
92,movie/concerthall,37.6424093,127.0298017,서울특별시 강북구 도봉로 399,10098,메가박스 수유
93,movie/concerthall,37.559830700000006,126.9423898,서울특별시 서대문구 신촌역로  30,10099,메가박스 신촌
94,movie/concerthall,37.4848049,126.98168500000001,서울특별시 동작구 동작대로 89,10100,메가박스 아트나인
95,movie/concerthall,37.512487799999995,127.058853,서울특별시 강남구 삼성동 159,10101,메가박스 코엑스
97,movie/concerthall,37.564057,126.9841854,서울특별시 중구 명동길 35 명동예술극장,10103,명동예술극장
98,movie/concerthall,37.5647012,126.99321509999999,서울특별시 중구 초동 18-5,10104,명보아트홀
99,movie/concerthall,37.5514818,126.9228095,서울특별시 마포구 와우산로19길 6-5,10105,명월관
100,movie/concerthall,37.486433899999994,127.00455159999999,서울특별시 서초구 서초3동 1515-3번지 모차르트빌딩 2층,10106,모차르트홀
101,movie/concerthall,37.530525399999995,126.88169690000001,서울특별시 양천구 목1동 914,10107,목동아이스링크
102,movie/concerthall,37.5799333,127.00289699999999,서울특별시 종로구 동숭동 1-130,10108,문예회관소극장
103,movie/concerthall,37.5671176,126.96867350000001,서울특별시 중구 충정로 1가 68번지 문화일보홀,10109,문화일보홀
105,movie/concerthall,37.5460352,126.96492140000001,서울특별시 용산구 청파동2가 53-12 숙명여자대학교 내,10111,뮤지컬 전용 극장 - 씨어터 S
106,movie/concerthall,37.5658696,126.972876,서울특별시 중구 정동 8-11 (구 정동이벤트홀),10112,뮤지컬 전용관 팝콘하우스
107,movie/concerthall,37.510234999999994,127.0446673,서울특별시 강남구 삼성동 112-2 한국문화재보호재단,10113,민속극장 풍류
108,movie/concerthall,37.5554016,126.9753825,서울특별시 중구 남대문로 5가 395,10114,밀레니엄서울힐튼호텔 컨벤션센터
109,movie/concerthall,37.5105408,127.065929,서울특별시 강남구 삼성동 170-5 백암아트홀,10115,백암아트홀
110,movie/concerthall,37.55258920000001,126.92143119999999,서울특별시 마포구 홍익로3길 44 호곡빌딩 지하1층,10116,벨벳 바나나 클럽
112,movie/concerthall,37.5550895,126.93010690000001,서울특별시 마포구 와우산로 157 지하 1층 소극장 산울림,10118,산울림소극장
113,movie/concerthall,37.5074584,127.0606539,서울특별시 강남구 대치동 944-31,10119,삼성동 섬유센터 이벤트홀
114,movie/concerthall,37.563453100000004,126.9879054,서울특별시 중구 저동1가 20-6,10120,삼일로 창고극장
115,movie/concerthall,37.55094879999999,126.92106580000001,서울특별시 마포구 어울마당로 65,10121,상상마당 라이브홀
116,movie/concerthall,37.5815515,127.0023436,서울특별시 종로구 동숭동 1-115,10122,샘터파랑새극장
117,movie/concerthall,37.5119444,127.1009753,서울특별시 송파구 잠실동 41-1번지,10123,샤롯데씨어터
118,movie/concerthall,37.5517132,126.9410634,서울특별시 마포구 백범로 35 서강대학교 커뮤니케이션센터 메리홀 105호,10124,서강대학교 메리홀
119,movie/concerthall,37.5568322,127.0063426,서울특별시 중구 장충동2가 202,10125,서울 신라호텔 다이너스티홀
120,movie/concerthall,37.5121532,127.0754598,서울특별시 송파구 잠실1동 10-3 종합운동장 내,10126,서울 잠실 학생체육관
121,movie/concerthall,37.4669827,127.03253959999999,서울특별시 서초구 양재2동 202번지,10127,서울교육문화회관 대극장
122,movie/concerthall,37.572185,126.97686609999998,서울특별시 종로구 세종대로 175,10128,서울극장
123,movie/concerthall,37.5077131,127.10058300000001,서울특별시 송파구 잠실동 47번지,10129,서울놀이마당
124,movie/concerthall,37.4817324,127.01450849999999,서울특별시 서초구 서초3동 1450-2 DSI빌딩 3층,10130,서울바로크챔버홀(구 DS홀)
125,movie/concerthall,37.5584252,126.9879469,서울특별시 중구 예장동8-145,10131,서울애니시네마
126,movie/concerthall,37.6582055,127.0508212,서울특별시 도봉구 창4동 1-6번지,10132,서울열린극장 창동
127,movie/concerthall,37.567161,127.01213200000001,서울특별시 중구 신당동 251-7번지 서울패션센터 5층 서울패션아트홀,10133,서울패션아트홀
128,movie/concerthall,37.5010915,127.0116146,서울특별시 서초구 반포4동 51-5 대동빌딩 B1,10134,서초아트홀
129,movie/concerthall,37.4857831,127.08235330000001,서울특별시 강남구 일원동 713,10135,세라믹팔레스홀
130,movie/concerthall,37.566759399999995,126.976001,서울특별시 중구 정동 3-7 제일화재 세실극장,10136,세실극장
