,place_name,place_id,facility_available_name,facility_id,facility_is_available
435,아현,207,엘리베이터,900435,이용가능
436,아현,207,계단핸드레일,900436,이용가능
437,안국,208,화장실,900437,이용가능
438,안국,208,엘리베이터,900438,이용가능
439,안국,208,에스켈레이터,900439,이용가능
440,안암,210,에스켈레이터,900440,이용가능
441,안암,210,엘리베이터,900441,이용가능
442,안암,210,화장실,900442,이용가능
443,암사,212,화장실,900443,이용가능
444,암사,212,엘리베이터,900444,이용가능
445,암사,212,에스켈레이터,900445,이용가능
446,압구정,213,엘리베이터,900446,이용가능
447,압구정,213,화장실,900447,이용가능
448,압구정,213,휠체어리프트,900448,이용가능
449,애오개,214,화장실,900449,이용가능
450,애오개,214,엘리베이터,900450,이용가능
451,애오개,214,에스켈레이터,900451,이용가능
452,약수,215,화장실,900452,이용가능
453,약수,215,엘리베이터,900453,이용가능
454,약수,215,에스켈레이터,900454,이용가능
455,약수,215,휠체어리프트,900455,이용가능
456,양재,216,화장실,900456,이용가능
457,양재,216,엘리베이터,900457,이용가능
458,양천구청,217,화장실,900458,이용가능
459,양천구청,217,엘리베이터,900459,이용가능
460,양평,218,엘리베이터,900460,이용가능
461,양평,218,화장실,900461,이용가능
462,양평,218,에스켈레이터,900462,이용가능
463,어린이대공원,219,화장실,900463,이용가능
464,어린이대공원,219,엘리베이터,900464,이용가능
465,여의나루,220,화장실,900465,이용가능
466,여의나루,220,엘리베이터,900466,이용가능
467,여의나루,220,에스켈레이터,900467,이용가능
468,여의도,221,엘리베이터,900468,이용가능
469,여의도,221,에스켈레이터,900469,이용가능
470,여의도,221,화장실,900470,이용가능
471,역삼,223,화장실,900471,이용가능
472,역삼,223,엘리베이터,900472,이용가능
473,역촌,224,화장실,900473,이용가능
474,역촌,224,에스켈레이터,900474,이용가능
475,역촌,224,엘리베이터,900475,이용가능
476,연신내,225,계단핸드레일,900476,이용가능
477,연신내,225,엘리베이터,900477,이용가능
478,연신내,225,에스켈레이터,900478,이용가능
479,영등포구청,227,화장실,900479,이용가능
480,영등포구청,227,엘리베이터,900480,이용가능
481,영등포구청,227,에스켈레이터,900481,이용가능
482,영등포구청,227,휠체어리프트,900482,이용가능
483,영등포시장,228,엘리베이터,900483,이용가능
484,영등포시장,228,화장실,900484,이용가능
485,영등포시장,228,에스켈레이터,900485,이용가능
486,오금,229,에스켈레이터,900486,이용가능
487,오금,229,화장실,900487,이용가능
488,오금,229,엘리베이터,900488,이용가능
489,오금,229,휠체어리프트,900489,이용가능
490,오목교,231,화장실,900490,이용가능
491,오목교,231,엘리베이터,900491,이용가능
492,오목교,231,에스켈레이터,900492,이용가능
493,오목교,231,휠체어리프트,900493,이용가능
494,옥수,235,화장실,900494,이용가능
495,옥수,235,엘리베이터,900495,이용가능
496,옥수,235,휠체어리프트,900496,이용가능
497,온수,236,엘리베이터,900497,이용가능
498,온수,236,화장실,900498,이용가능
499,온수,236,에스켈레이터,900499,이용가능
500,온수,236,수평보행기,900500,이용가능
501,온수,236,휠체어리프트,900501,이용가능
502,올림픽공원,237,화장실,900502,이용가능
503,올림픽공원,237,엘리베이터,900503,이용가능
504,올림픽공원,237,에스켈레이터,900504,이용가능
505,왕십리,238,화장실,900505,이용가능
506,왕십리,238,엘리베이터,900506,이용가능
507,왕십리,238,에스켈레이터,900507,이용가능
508,왕십리,238,휠체어리프트,900508,이용가능
509,용마산,242,화장실,900509,이용가능
510,용마산,242,엘리베이터,900510,이용가능
511,용마산,242,에스켈레이터,900511,이용가능
512,우장산,244,화장실,900512,이용가능
513,우장산,244,엘리베이터,900513,이용가능
514,우장산,244,에스켈레이터,900514,이용가능
515,월곡,247,화장실,900515,이용가능
516,월곡,247,에스켈레이터,900516,이용가능
517,월곡,247,엘리베이터,900517,이용가능
518,월곡,247,휠체어리프트,900518,이용가능
519,을지로3가,248,엘리베이터,900519,이용가능
520,을지로3가,248,에스켈레이터,900520,이용가능
521,을지로3가,248,화장실,900521,이용가능
522,을지로4가,249,화장실,900522,이용가능
523,을지로4가,249,엘리베이터,900523,이용가능
524,을지로4가,249,에스켈레이터,900524,이용가능
525,을지로4가,249,휠체어리프트,900525,이용가능
526,을지로입구,250,화장실,900526,이용가능
527,을지로입구,250,휠체어리프트,900527,이용가능
528,을지로입구,250,엘리베이터,900528,이용가능
529,응암,251,화장실,900529,이용가능
530,응암,251,엘리베이터,900530,이용가능
531,응암,251,에스켈레이터,900531,이용가능
532,이대,255,화장실,900532,이용가능
533,이대,255,휠체어리프트,900533,이용가능
534,이대,255,엘리베이터,900534,이용가능
535,이촌,256,에스켈레이터,900535,이용가능
536,이촌,256,화장실,900536,이용가능
537,이촌,256,엘리베이터,900537,이용가능
538,이촌,256,휠체어리프트,900538,이용가능
539,이태원,257,화장실,900539,이용가능
540,이태원,257,엘리베이터,900540,이용가능
541,이태원,257,에스켈레이터,900541,이용가능
542,일원,260,화장실,900542,이용가능
543,일원,260,엘리베이터,900543,이용가능
544,잠실,261,화장실,900544,이용가능
545,잠실,261,엘리베이터,900545,이용가능
546,잠실,261,에스켈레이터,900546,이용가능
547,잠실,261,휠체어리프트,900547,이용가능
548,잠원,262,화장실,900548,이용가능
549,잠원,262,엘리베이터,900549,이용가능
550,장승배기,263,엘리베이터,900550,이용가능
551,장승배기,263,에스켈레이터,900551,이용가능
552,장승배기,263,화장실,900552,이용가능
553,장암,264,화장실,900553,이용가능
554,장암,264,엘리베이터,900554,이용가능
555,장지,265,화장실,900555,이용가능
556,장지,265,엘리베이터,900556,이용가능
557,장한평,266,에스켈레이터,900557,이용가능
558,장한평,266,엘리베이터,900558,이용가능
559,장한평,266,화장실,900559,이용가능
560,장한평,266,휠체어리프트,900560,이용가능
561,제기동,270,엘리베이터,900561,이용가능
562,제기동,270,화장실,900562,이용가능
563,종각,272,화장실,900563,이용가능
564,종각,272,엘리베이터,900564,이용가능
565,종각,272,에스켈레이터,900565,이용가능
566,종로3가,273,화장실,900566,이용가능
567,종로3가,273,엘리베이터,900567,이용가능
568,종로3가,273,에스켈레이터,900568,이용가능
