,place_name,place_address,lat,lon,category,place_id
4309,경찰병원 화장실,서울특별시 송파구 가락본동 58,37.501287,127.12703799999998,toilet/open,10410
4310,강동송파교육지원청 화장실,서울특별시 송파구 잠실2동 22-3,37.50137,127.108678,toilet/open,10411
4311,송파구  공영차고지 화장실,서울특별시 송파구 장지동 42-1,37.495107,127.122426,toilet/open,10412
4312,시설관리공단 화장실,서울특별시 송파구 장지동 573-1,37.5073,127.11663600000001,toilet/open,10413
4313,마천119안전센터 화장실,서울특별시 송파구 마천2동 29-1,37.49061,127.157521,toilet/open,10414
4314,거여119안전센터 화장실,서울특별시 송파구 거여2동 307-11,37.508236,127.10388700000001,toilet/open,10415
4315,방이119안전센터 화장실,서울특별시 송파구 방이2동 89-3,37.505798,127.10616,toilet/open,10416
4316,잠실119안전센터 화장실,서울특별시 송파구 잠실3동 44-5,37.492979,127.15016200000001,toilet/open,10417
4317,운동장119안전센터 화장실,서울특별시 송파구 잠실2동 10,37.514021,127.10756699999999,toilet/open,10418
4318,가락119안전센터 화장실,서울특별시 송파구 가락1동 600,37.506991,127.089909,toilet/open,10419
4319,서울초이스병원(임정애 메이저) 화장실,서울특별시 송파구 풍납2동 496-5,37.504757,127.08773799999999,toilet/open,10420
4320,아산병원 화장실,서울특별시 송파구 풍납2동 388,37.516616,127.101258,toilet/open,10421
4321,한국육영학교(특수) 화장실,서울특별시 송파구 장지동 848-1,37.497659999999996,127.125723,toilet/open,10422
4322,한국체육대학교 화장실,서울특별시 송파구 오륜동 88-15,37.504129999999996,127.107677,toilet/open,10423
4323,아시아선수촌A동상가 화장실,서울특별시 송파구 잠실동 85-1,37.516312,127.10041299999999,toilet/open,10424
4324,잠실3동성당 화장실,서울특별시 송파구 잠실3동 27-2,37.489398,127.122831,toilet/open,10425
4325,풍납백제문화공원 화장실,서울특별시 송파구 풍납동 197,37.511469,127.08168899999998,toilet/open,10426
4326,송파관광정보센터 화장실,서울특별시 송파구 신천동 32,37.481813,127.13246299999999,toilet/open,10427
4327,올림픽공원-테니스장 화장실,서울특별시 송파구 오륜동 88-2,37.524671000000005,127.12196399999999,toilet/open,10428
4328,KT가락지점 화장실,서울특별시 송파구 가락본동 77-6,37.512572,127.10819,toilet/open,10429
4329,송파나루(놀이마당) 화장실 화장실,서울특별시 송파구 잠실동 47,37.53587,127.113731,toilet/open,10430
4330,송파나루(갤러리수) 화장실 화장실,서울특별시 송파구 잠실동 47,37.516192,127.09345900000001,toilet/open,10431
4331,잠실공원 화장실 화장실,서울특별시 송파구 잠실본동 230,37.508531,127.07691000000001,toilet/open,10432
4332,방이공원 화장실 화장실,서울특별시 송파구 방이동 52,37.508540999999994,127.076715,toilet/open,10433
4333,송이공원 화장실 화장실,서울특별시 송파구 송파동 169,37.520247,127.115553,toilet/open,10434
4334,웃말공원 화장실 화장실,서울특별시 송파구 가락동 21,37.494029,127.118077,toilet/open,10435
