,facility_detail_info,facility_available_name
149,손잡이 설치,주출입구 높이차이 제거_경복궁(불고기브라더스)
150,상세정보 없음,주출입구 접근로_경인빌딩(엉터리생고기)
151,총주차대수5,장애인 전용 주차구역_경인빌딩(엉터리생고기)
152,평탄함,주출입구 접근로_고기굼터
153,단차없음,주출입구 접근로_고기굼터
154,유효폭 1.2m 이상,주출입구 접근로_고기굼터
155,기울기 1/18이하,주출입구 접근로_고기굼터
156,보/차도 구분,주출입구 접근로_고기굼터
157,단차없음 또는 경사로 1/12이하 설치,주출입구 높이차이 제거_고기굼터
158,유효폭 1.2m 이상,주출입구 높이차이 제거_고기굼터
159,손잡이 설치,주출입구 높이차이 제거_고기굼터
160,상세정보 없음,주출입구 접근로_골방집
161,총주차대수6,장애인 전용 주차구역_골방집
162,상세정보 없음,주출입구 접근로_공룡고기
163,상세정보 없음,장애인 전용 주차구역_공룡고기
164,경사로 1/12초과 설치,주출입구 높이차이 제거_공룡고기
165,유효폭 1.2m 미만,주출입구 높이차이 제거_공룡고기
166,손잡이 미흡설치,주출입구 높이차이 제거_공룡고기
167,평탄함,주출입구 접근로_공룡고기
168,단차없음,주출입구 접근로_공룡고기
169,유효폭 1.2m 이상,주출입구 접근로_공룡고기
170,기울기 1/18이하,주출입구 접근로_공룡고기
171,보/차도 구분없음,주출입구 접근로_공룡고기
172,상세정보 없음,장애인 전용 주차구역_공룡고기
173,평탄함,주출입구 접근로_광양림
174,단차없음,주출입구 접근로_광양림
175,유효폭 1.2m 이상,주출입구 접근로_광양림
176,기울기 1/18~1/12이하,주출입구 접근로_광양림
177,보/차도 구분,주출입구 접근로_광양림
178,총주차대수30,장애인 전용 주차구역_광양림
179,전용주차대수  2,장애인 전용 주차구역_광양림
180,출입구와 가까운 곳에 설치,장애인 전용 주차구역_광양림
181,크기 확보(3.3*5m),장애인 전용 주차구역_광양림
182,안내표지판 설치,장애인 전용 주차구역_광양림
183,경사로 1/12초과 설치,주출입구 높이차이 제거_광양림
184,유효폭 1.2m 미만,주출입구 높이차이 제거_광양림
185,손잡이 설치,주출입구 높이차이 제거_광양림
186,평탄함,주출입구 접근로_교촌1991
187,단차없음,주출입구 접근로_교촌1991
188,유효폭 1.2m 이상,주출입구 접근로_교촌1991
189,기울기 1/18이하,주출입구 접근로_교촌1991
190,보/차도 구분없음,주출입구 접근로_교촌1991
191,총주차대수5,장애인 전용 주차구역_교촌1991
192,상세정보 없음,주출입구 접근로_궁안뜰
193,상세정보 없음,장애인 전용 주차구역_궁안뜰
194,상세정보 없음,주출입구 접근로_근린생활시설(고갯마루한정식)
195,단차없음 또는 경사로 1/12이하 설치,주출입구 높이차이 제거_근린생활시설(고갯마루한정식)
196,유효폭 1.2m 이상,주출입구 높이차이 제거_근린생활시설(고갯마루한정식)
197,평탄함,주출입구 접근로_근린생활시설(대게나라)
198,단차없음,주출입구 접근로_근린생활시설(대게나라)
199,유효폭 1.2m 이상,주출입구 접근로_근린생활시설(대게나라)
200,기울기 1/18이하,주출입구 접근로_근린생활시설(대게나라)
201,보/차도 구분,주출입구 접근로_근린생활시설(대게나라)
202,총주차대수8,장애인 전용 주차구역_근린생활시설(대게나라)
203,단차없음 또는 경사로 1/12이하 설치,주출입구 높이차이 제거_근린생활시설(대게나라)
204,유효폭 1.2m 이상,주출입구 높이차이 제거_근린생활시설(대게나라)
205,상세정보 없음,주출입구 접근로_근린생활시설(못된송아지)
206,상세정보 없음,장애인 전용 주차구역_근린생활시설(못된송아지)
207,평탄함,주출입구 접근로_근린생활시설(배밭고을)
208,단차없음,주출입구 접근로_근린생활시설(배밭고을)
